Comment_ID,Comment,Latitude,Longitude
1,"Hi, guys, thanks for the meeting. Good to see you guys again. Just got a quick—I don’t know if it’s a question or basically a comment. I have a lot, but I don't want to take up everybody’s time. I think we can do that later, but I guess the concern that I have is now that I'm seeing a few more of these commercial corridors you're looking to build. The area desperately needs commercial, but you guys are working on an Arbor and East proposal, and there is an Edgemere Commons that's already been approved, which is going to have a lot of square footage of commercial.
 
So I'm just wondering, obviously, we see that, you know, commercial in the long run is going to get harder and harder for small businesses to stay open, not just due to COVID but changing consumer habits as far as shopping online and things like that. So, has that been really looked at and studied because Edgemere Commons is going to have a tremendous amount of commercial and Auburn East combined is going to have a tremendous amount of commercial? So I'm just wondering if that's been thought about and what your thoughts are on that?",40.59678646,-73.77784724
2,"Hello. Hi. I think this is very interesting. Since we spoke while you were on 40th Street, I think a couple of things. I assume you observed a huge traffic backlog that extended—you didn’t see it—but on Beach Channel Drive, it extended from somewhere past 40th Street back to 32nd Street. I’m wondering whether you've investigated the traffic impact and the effect of the DOT turning over the job of licensed professional engineers through city planners, number one. Number two, I was wondering to what extent you asked people what they thought of additional housing versus other uses? Because, while I was there, as you will recall, when I asked people what they thought of additional housing, the answer was uniformly against it, regardless of the interviewee's race or ethnic background. So, I’d like your response to that. And third, what would you suppose would be a response to a ballot initiative to close down HPD as an anti-social organization?",40.59763219,-73.7752483
3,"Have you had, when you stopped people on the street or people came up to you at 40th Street last weekend, was it? Um, what percentage of the people were in favor of more housing? Roughly? I know you didn't, you know, write it down. I will just comment one more thing in terms of resiliency. Once upon a time I lived on Beach 38th Street. 1949, people used motorboats and aside from canoes on the street, the water was so deep, but since then the city has raised it about five or eight feet so I don't recall it's ever flooded. And your discussion saying Edgemere was most affected during Sandy certainly the whole peninsula was, but I would suggest that the area that was most affected was Rockaway Park, which is an upper-income area not to minimize what anybody suffered during Sandy, which was awful.",40.59778254,-73.77475326
4,"Good evening everyone, it's great to see everyone again, summer's almost over, it's unbelievable, isn't it? So, um let me start by saying that I love the idea of the one and two family homes, the reasoning to do that. That is something we talked about from the day we began recovering from Sandy and the areas that there will be no development on because of the inability for anyone to mitigate the flood hazards in those areas along the bay. So those rezonings certainly is something we expected and and I support and the community land trust is very exciting and a great opportunity for many folks.
 
The selection of the not-for-profit is going to be critical in that although we want local, and I don't know who is eligible locally, it is in addition to local, I think a greater importance is someone that has prior experience in this area, that it not be someone new and unexperienced. So I think that's quite urgent. The concern I do have, I have to say is the request for rezoning from the R4 to the R6A, which is to the mid-rise buildings. It's going to bring in four buildings, 500 units, and I don't think those sites are large enough. I'm not going to bore everyone with the statistics I presented during Auburn East, but in the 1950s and 60s, the city built over 7,000 units of affordable housing on very expansive pieces of land that provided green space, playgrounds, parking, meeting areas for individuals. Dunes one and two are concrete buildings, there are no outdoor meeting spaces, they're built right to the sidewalk and it looks terrible and it's not a welcoming place that you feel you're at home. You, I go past it and think, oh my god how do these folks feel?
 
So I really, it is the upzoning to the 500 units in those mid-rise buildings that have not been thought out. It does not provide any of the things you would expect that people in the city of New York deserve. Regardless of their income level, they deserve to live in a positive, healthy environment and I don't believe those buildings do that. I do have one question, I think in one of the, uh, on one of the pages and and the page with all the pictures give a demonstration of what zones one and two looks like now and it's just concrete. It's concrete and nothing else. You, I think someone said that the commercial space in Dunes one and two is 3,000 square feet and if I'm right, can you tell us what commercial space is occupied and by what types of commercial enterprises?""

So, what I would like to see, please, each of those four sites, the R4, what would be the max filled out if it stayed as R4 and what type of housing, and then if it went to R6A, what would be the max filled out, including right to the sidewalk, no side yard, no anything, and how many units it could be? So you can certainly give that to us, but that is certainly something, if we're going to make an educated decision on our position, we would need to know that.",40.59938001,-73.77571858
5,"Can you hear me? Okay, so, um, my question is, is whoever is involved in this project, the city or whoever, are they going to hold the contractors responsible, like, um, the contractors that did the Build it Back and these contractors that did Build it Back... Okay, great that they lifted 109, um units up, but they spent or they were paid close to a million dollars for each unit, and the units were only worth a quarter of a million dollars. It would have been better if the people that owned the homes, they would have got the million dollars and they could have decided what they wanted to do.
 
Now, Dune 1 and Dune 2, it seems like Dune 3 is, is the same contract that did Dune 1 and Dune 2, and the back of the building they didn't, they didn't create a sidewalk, and it's like garbage is there, and mildew, and these and there should have been, um, retail space in dune one and two, because none of the lots that are in the beach 40s are designated for any retail.
 
And the doom 3 is slotted for retail when they have the little mall, uh, where the bravo uh thing is, and these contractors, they need to be ambassadors, not just build and, and they make a profit and they leave the, the what they do, shady work. So, who is anybody going to hold these contractors liable and for this L M contractor to do Dune 3? It should be contingent on them fixing the back of the building, where it should have sidewalk, it should have lighting, it should they should be ambassadors and put like signs, banners that, um, the people that walk from the nursing home when they go to the steps of the train say they like, we promote or we support our essential workers. They shouldn't have to be walking through the back way where there is no sidewalk. So, who's going to hold these contractors accountable when they're doing shady work?",40.59915449,-73.77653539
6,"Okay, hi, good evening, everyone. Um, so I wanted to first start off by, I mean, I know what a CLT is. I know, um, I basically know what a CLT is, but not everybody knows what a community land trust is, right? So, um, I believe you explain to it where, it’s led by, because I want you to tell me and everyone else, who actually runs the CLT, right? Who runs the community land trust? I believe you said it was non-profits, correct? And who picks those non-profits? Is it HPD that picks those non-profits? And what’s in it for the non-profits?",40.59733149,-73.77715419
7,"So I wanna, I want to touch a little bit on the resiliency, right? So, um, you know, I live in Edgemere, right, my whole thing is, you know, yes we need resiliency, right, flooding, we need control of that, you know, we need to fix that. In addition to, um, how access to the boardwalk, our access to the beach, right, our access to the boardwalk, we do not have, right? And this is stemming from, I’m on Beach 40th, so, we’re talking probably from Beach 36 all the way down to maybe 45th, 46th street, where there is no, I’m sorry it goes further, it goes further even down to down to 54th I believe. We can’t access the beach, right? So how, you know, for right now, currently, we can’t access the boardwalk, period, right? Because there's, is, is nothing there, it’s, you know, it’s, you take a chance just actually going to the boardwalk, walking the little makeshift path that’s there, you know, and in hopes that you don’t, uh, kill yourself or injure yourself or because it’s just not safe, right? So that entire part there needs to be, um, we definitely have to have access in addition to that, we can't access the beach as well, right, because of the piping clovers. So are you going to do something about that, about the piping plovers that, you know, that stems from, I mean for blocks that we can’t access the beach once that, once you do the ball walk? Alright, that’s fine, once you give us access to actually gain access to the boardwalk sufficiently, what’s going to happen when we actually want to access the beach, you know, with the piping plovers, like are you going to address that or, you know, is that going to be moved? Are you going to shorten the amount of space that's needed for the piping plovers so we can actually enjoy the beach in Edgemere?",40.59712475,-73.77651064
8,"Okay, so basically nothing's changing. The piping plovers will be there, and we cannot access that portion of the beach, which is pretty much from Beach 36... and correct me if I'm wrong, from Beach 36 to, um, Beach... I want to say 54th or 52nd, where there's like, that entire area is filled with the piping plovers?",40.59703078,-73.77190681
9,"So, you would enhance the access to the beach? Like, would there be pathways in between those particular streets, like between 38th and 57th, where we can walk through and still access the beach?",40.59607227,-73.77851554
10,"This is the last thing I'll say. As far as, you know, changing the R4 to an R6A... I'm pretty sure I'm not the only one that feels that we really don't need you to change that. We need more homeownership. With the Rain East project, it's going to be plenty of affordable apartments being built.
 
So increasing this... changing from an R4 to an R6A is just totally unnecessary. You're building more buildings, you're shifting people from one apartment complex to another apartment complex instead of actually having ownership. We need homeownership, right? In order for us to build generational wealth, that's one of the things that we need—homeownership. So, please, I would prefer you not to change that from R4 to R6A.
 
We also need access to healthcare and education, and we need jobs. You're bringing so many people here into the Rockaways, especially in this area, when there are no job opportunities. Like I said on our last call, can you make a commitment, if we can get something in writing, to say that, you know, they should actually hire from within? We have skilled professionals that live in Rockaway, we have plenty of them. So we need some sort of commitment. You're building all these different things, but what can you do for the people here who have been in Edgemere for years, who have put their blood, sweat, and tears into this community? We were promised so much at one point, and we have failed to see anything actually flourish here.
 
I bought my house here 15 years ago, and we were told that we were promised so many different things, and we've gotten nothing. So, we should actually get something sustainable, something that you can give back to us. It's a bunch of things I can go on about, but I'm not going to take up any more time. I appreciate it, thank you, and I'll let the next person speak.",40.59607227,-73.77690667
